metal_detected,ir_detected,rain_value,color_value,label
1,0,4095,307,metal
1,0,4095,313,metal
1,0,4095,303,metal
1,0,4095,314,metal
1,0,4095,309,metal
1,0,4095,300,metal
1,0,4095,320,metal
1,0,4095,326,metal
1,0,4095,317,metal
1,0,4095,314,metal
1,0,4095,308,metal
1,0,4095,309,metal
1,0,4095,319,metal
0,0,4095,321,metal
1,0,4095,308,metal
0,0,4095,303,metal
1,0,4095,314,metal
1,0,4095,324,metal
1,0,4095,311,metal
1,0,4095,312,metal
1,0,4095,315,metal
1,0,4095,311,metal
1,0,4095,315,metal
1,0,4095,316,metal
1,0,4095,299,metal
1,0,4095,300,metal
1,0,4095,313,metal
1,0,4095,308,metal
1,0,4095,301,metal
1,0,4095,301,metal
0,0,4095,299,metal
1,0,4095,303,metal
1,0,4095,311,metal
1,0,4095,303,metal
1,0,4095,307,metal
1,0,4095,309,metal
1,0,4095,309,metal
1,0,4095,312,metal
1,0,4095,311,metal
1,0,4095,318,metal
1,0,4095,309,metal
1,0,4095,298,metal
1,0,4095,311,metal
1,0,4095,305,metal
1,0,4095,312,metal
1,0,4095,307,metal
1,0,4095,314,metal
1,0,4095,302,metal
1,0,4095,301,metal
1,0,4095,297,metal
1,0,4095,299,metal
1,0,4095,293,metal
1,0,4095,285,metal
1,0,4095,303,metal
1,0,4095,300,metal
0,0,4095,288,metal
1,0,4095,290,metal
0,0,4095,300,metal
0,0,4095,297,metal
1,0,4095,287,metal
1,0,4095,281,metal
1,0,4095,291,metal
1,0,4095,298,metal
1,0,4095,290,metal
1,0,4095,293,metal
1,0,4095,298,metal
1,0,4095,293,metal
1,0,4095,295,metal
1,0,4095,292,metal
1,0,4095,291,metal
0,1,4095,27,dry bio
0,1,4095,27,dry bio
0,1,4095,27,dry bio
0,0,4095,167,dry bio
0,1,4095,49,dry bio
0,1,4095,51,dry bio
0,1,4095,46,dry bio
0,1,4095,45,dry bio
0,0,4095,158,dry bio
0,1,4095,74,dry bio
0,1,4095,75,dry bio
0,1,4095,56,dry bio
0,1,4095,57,dry bio
0,1,4095,39,dry bio
0,1,4095,37,dry bio
0,1,4095,37,dry bio
0,1,4095,33,dry bio
0,1,4095,30,dry bio
0,1,4095,32,dry bio
0,1,4095,31,dry bio
0,1,4095,71,dry bio
0,1,4095,62,dry bio
0,1,4095,61,dry bio
0,1,4095,60,dry bio
0,1,4095,45,dry bio
0,1,4095,40,dry bio
0,1,4095,38,dry bio
0,1,4095,40,dry bio
0,1,4095,37,dry bio
0,1,4095,38,dry bio
0,1,4095,28,dry bio
0,1,4095,28,dry bio
0,1,4095,28,dry bio
0,1,4095,31,dry bio
0,1,4095,33,dry bio
0,1,4095,33,dry bio
0,1,4095,75,dry bio
0,1,4095,91,dry bio
0,1,4095,101,dry bio
0,1,4095,72,dry bio
0,1,4095,89,dry bio
0,1,4095,106,dry bio
0,1,4095,34,dry bio
0,1,4095,34,dry bio
0,1,4095,34,dry bio
0,1,4095,64,dry bio
0,1,4095,54,dry bio
0,1,4095,60,dry bio
0,1,4095,56,dry bio
0,1,4095,40,dry bio
0,1,4095,36,dry bio
0,1,4095,31,dry bio
0,1,4095,31,dry bio
0,1,4095,30,dry bio
0,1,4095,35,dry bio
0,1,4095,32,dry bio
0,1,4095,32,dry bio
0,1,4095,32,dry bio
0,1,4095,33,dry bio
0,1,4095,32,dry bio
0,1,4095,33,dry bio
0,1,4095,26,dry bio
0,1,4095,28,dry bio
0,1,4095,37,dry bio
0,1,4095,33,dry bio
0,1,4095,34,dry bio
0,1,4095,39,dry bio
0,1,4095,41,dry bio
0,1,4095,46,dry bio
0,1,4095,43,dry bio
0,1,4095,43,dry bio
0,1,4095,43,dry bio
0,1,4095,55,dry bio
0,1,4095,42,dry bio
0,1,4095,32,dry bio
0,1,4095,29,dry bio
0,1,4095,30,dry bio
0,1,4095,30,dry bio
0,1,4095,30,dry bio
0,1,4095,29,dry bio
0,1,4095,29,dry bio
0,1,4095,31,dry bio
0,1,4095,34,dry bio
0,1,4095,26,dry bio
0,1,4095,28,dry bio
0,1,4095,29,dry bio
0,1,4095,28,dry bio
